Mineiro, Meia
Rodrigo, Goleiro 
Neno Lateral
Odair Volante
Naldo, Zagueiro 
Cri, Lateral
Rildo, Atacante 
Oliver, Goleiro
Nato, Volante 
Sidney, Lateral
Batata, Zagueiro 
Miguel, Atacante 
Lucio, Volante 
Lima, Volante 
Pastor, Atacante 
Denilson, Lateral 
Zé Eduardo, Meia
Tivico, Volante 
Edson, Atacante
