Jr Bahëa, Conselheiro
Jorginho, Conselheiro
Oliver, Vice-Presidente
Marcos D., Presidente 
Gera, Conselheiro
Eliel, Conselheiro
Santarém, Conselheiro
Juarez, Conselheiro
Marcel, Conselheiro
Mario, Conselheiro
Sérgio, Conselheiro
